seq_type	feature	class	product_accession	name	symbol	locus_tag	symbol_old	locus_tag_old	symbol_renamed	locus_tag_a	final_gene_name
chromosome	CDS	with_protein	WHS55143.1	peptidylprolyl isomerase A		QLH64-04000		QLH64_04000	FALSE	QLH64-04000	QLH64-04000
chromosome	CDS	with_protein	WHS55144.1	alpha/beta hydrolase		QLH64-04005		QLH64_04005	FALSE	QLH64-04005	QLH64-04005
chromosome	CDS	with_protein	WHS55145.1	LysR family transcriptional regulator		QLH64-04010		QLH64_04010	FALSE	QLH64-04010	QLH64-04010
chromosome	CDS	with_protein	WHS55146.1	3-phosphoglycerate kinase		QLH64-04015		QLH64_04015	FALSE	QLH64-04015	QLH64-04015
chromosome	CDS	with_protein	WHS55147.1	FMN-dependent NADH-azoreductase		QLH64-04020		QLH64_04020	FALSE	QLH64-04020	QLH64-04020
chromosome	CDS	with_protein	WHS55148.1	ATP-binding protein		QLH64-04025		QLH64_04025	FALSE	QLH64-04025	QLH64-04025
chromosome	CDS	with_protein	WHS55149.1	carboxylate/amino acid/amine transporter		QLH64-04030		QLH64_04030	FALSE	QLH64-04030	QLH64-04030
chromosome	CDS	with_protein	WHS55150.1	mechanosensitive ion channel family protein		QLH64-04035		QLH64_04035	FALSE	QLH64-04035	QLH64-04035
chromosome	CDS	with_protein	WHS55151.1	DEAD/DEAH box helicase		QLH64-04040		QLH64_04040	FALSE	QLH64-04040	QLH64-04040
chromosome	CDS	with_protein	WHS55152.1	group II intron reverse transcriptase/maturase	ltrA_1	QLH64-04045	ltrA	QLH64_04045	TRUE	QLH64-04045	ltrA_1
chromosome	CDS	with_protein	WHS55153.1	hypothetical protein		QLH64-04050		QLH64_04050	FALSE	QLH64-04050	QLH64-04050
chromosome	CDS	with_protein	WHS55154.1	exo-alpha-sialidase		QLH64-04055		QLH64_04055	FALSE	QLH64-04055	QLH64-04055
chromosome	CDS	without_protein		putative addiction module antidote protein		QLH64-04060		QLH64_04060	FALSE	QLH64-04060	QLH64-04060
chromosome	CDS	with_protein	WHS55155.1	hypothetical protein		QLH64-04065		QLH64_04065	FALSE	QLH64-04065	QLH64-04065
chromosome	CDS	without_protein		3-oxoacyl-ACP synthase		QLH64-04070		QLH64_04070	FALSE	QLH64-04070	QLH64-04070
chromosome	CDS	without_protein		HigA family addiction module antitoxin		QLH64-04075		QLH64_04075	FALSE	QLH64-04075	QLH64-04075
chromosome	CDS	with_protein	WHS55156.1	thioredoxin family protein		QLH64-04080		QLH64_04080	FALSE	QLH64-04080	QLH64-04080
chromosome	CDS	with_protein	WHS55157.1	transcriptional regulator		QLH64-04085		QLH64_04085	FALSE	QLH64-04085	QLH64-04085
chromosome	CDS	with_protein	WHS55158.1	DUF6279 family lipoprotein		QLH64-04090		QLH64_04090	FALSE	QLH64-04090	QLH64-04090
chromosome	CDS	with_protein	WHS55159.1	TorF family putative porin		QLH64-04095		QLH64_04095	FALSE	QLH64-04095	QLH64-04095
chromosome	CDS	with_protein	WHS55160.1	hypothetical protein		QLH64-04100		QLH64_04100	FALSE	QLH64-04100	QLH64-04100
chromosome	CDS	with_protein	WHS55161.1	S1-like domain-containing RNA-binding protein		QLH64-04105		QLH64_04105	FALSE	QLH64-04105	QLH64-04105
chromosome	CDS	with_protein	WHS55162.1	NCS1 family nucleobase:cation symporter-1		QLH64-04110		QLH64_04110	FALSE	QLH64-04110	QLH64-04110
chromosome	CDS	with_protein	WHS55163.1	MFS transporter		QLH64-04115		QLH64_04115	FALSE	QLH64-04115	QLH64-04115
chromosome	CDS	with_protein	WHS55164.1	LysR substrate-binding domain-containing protein		QLH64-04120		QLH64_04120	FALSE	QLH64-04120	QLH64-04120
chromosome	CDS	with_protein	WHS55165.1	PA1414 family protein		QLH64-04125		QLH64_04125	FALSE	QLH64-04125	QLH64-04125
chromosome	CDS	with_protein	WHS55166.1	sodium:solute symporter		QLH64-04130		QLH64_04130	FALSE	QLH64-04130	QLH64-04130
chromosome	CDS	with_protein	WHS57126.1	cytosine permease		QLH64-04135		QLH64_04135	FALSE	QLH64-04135	QLH64-04135
chromosome	CDS	with_protein	WHS55167.1	nuclear transport factor 2 family protein		QLH64-04140		QLH64_04140	FALSE	QLH64-04140	QLH64-04140
chromosome	CDS	with_protein	WHS55168.1	agmatinase	speB	QLH64-04145	speB	QLH64_04145	FALSE	QLH64-04145	speB
chromosome	CDS	with_protein	WHS55169.1	LysR family transcriptional regulator		QLH64-04150		QLH64_04150	FALSE	QLH64-04150	QLH64-04150
chromosome	CDS	with_protein	WHS55170.1	DTW domain-containing protein		QLH64-04155		QLH64_04155	FALSE	QLH64-04155	QLH64-04155
chromosome	CDS	with_protein	WHS55171.1	HlyD family type I secretion periplasmic adaptor subunit		QLH64-04160		QLH64_04160	FALSE	QLH64-04160	QLH64-04160
chromosome	CDS	with_protein	WHS55172.1	type I secretion system permease/ATPase		QLH64-04165		QLH64_04165	FALSE	QLH64-04165	QLH64-04165
chromosome	CDS	with_protein	WHS55173.1	TolC family outer membrane protein		QLH64-04170		QLH64_04170	FALSE	QLH64-04170	QLH64-04170
chromosome	CDS	with_protein	WHS55174.1	hypothetical protein		QLH64-04175		QLH64_04175	FALSE	QLH64-04175	QLH64-04175
chromosome	CDS	with_protein	WHS55175.1	retention module-containing protein		QLH64-04180		QLH64_04180	FALSE	QLH64-04180	QLH64-04180
chromosome	CDS	with_protein	WHS55176.1	YbaN family protein		QLH64-04185		QLH64_04185	FALSE	QLH64-04185	QLH64-04185
chromosome	CDS	with_protein	WHS55177.1	YecA family protein		QLH64-04190		QLH64_04190	FALSE	QLH64-04190	QLH64-04190
chromosome	CDS	with_protein	WHS55178.1	DNA helicase RecQ	recQ	QLH64-04195	recQ	QLH64_04195	FALSE	QLH64-04195	recQ
chromosome	CDS	with_protein	WHS55179.1	MarR family transcriptional regulator		QLH64-04200		QLH64_04200	FALSE	QLH64-04200	QLH64-04200
chromosome	CDS	with_protein	WHS55180.1	FimV/HubP family polar landmark protein		QLH64-04205		QLH64_04205	FALSE	QLH64-04205	QLH64-04205
chromosome	CDS	with_protein	WHS55181.1	patatin-like phospholipase family protein		QLH64-04210		QLH64_04210	FALSE	QLH64-04210	QLH64-04210
chromosome	CDS	with_protein	WHS55182.1	SelT/SelW/SelH family protein		QLH64-04215		QLH64_04215	FALSE	QLH64-04215	QLH64-04215
chromosome	CDS	with_protein	WHS55183.1	DMT family transporter		QLH64-04220		QLH64_04220	FALSE	QLH64-04220	QLH64-04220
chromosome	CDS	with_protein	WHS55184.1	AraC family transcriptional regulator		QLH64-04225		QLH64_04225	FALSE	QLH64-04225	QLH64-04225
chromosome	CDS	with_protein	WHS55185.1	UDP-2,3-diacylglucosamine diphosphatase		QLH64-04230		QLH64_04230	FALSE	QLH64-04230	QLH64-04230
chromosome	CDS	with_protein	WHS55186.1	HD domain-containing protein		QLH64-04235		QLH64_04235	FALSE	QLH64-04235	QLH64-04235
chromosome	CDS	with_protein	WHS55187.1	DUF962 domain-containing protein		QLH64-04240		QLH64_04240	FALSE	QLH64-04240	QLH64-04240
chromosome	CDS	with_protein	WHS55188.1	AraC family transcriptional regulator		QLH64-04245		QLH64_04245	FALSE	QLH64-04245	QLH64-04245
chromosome	CDS	with_protein	WHS55189.1	TrkH family potassium uptake protein		QLH64-04250		QLH64_04250	FALSE	QLH64-04250	QLH64-04250
chromosome	CDS	with_protein	WHS55190.1	NAD(P)H nitroreductase		QLH64-04255		QLH64_04255	FALSE	QLH64-04255	QLH64-04255
chromosome	CDS	with_protein	WHS55191.1	amino acid aminotransferase		QLH64-04260		QLH64_04260	FALSE	QLH64-04260	QLH64-04260
chromosome	CDS	with_protein	WHS55192.1	4a-hydroxytetrahydrobiopterin dehydratase		QLH64-04265		QLH64_04265	FALSE	QLH64-04265	QLH64-04265
chromosome	CDS	with_protein	WHS55193.1	phenylalanine 4-monooxygenase	phhA	QLH64-04270	phhA	QLH64_04270	FALSE	QLH64-04270	phhA
chromosome	CDS	with_protein	WHS55194.1	sigma-54-dependent transcriptional regulator		QLH64-04275		QLH64_04275	FALSE	QLH64-04275	QLH64-04275
chromosome	CDS	with_protein	WHS55195.1	flagellar basal body rod protein FlgF		QLH64-04280		QLH64_04280	FALSE	QLH64-04280	QLH64-04280
chromosome	CDS	with_protein	WHS55196.1	flagellar basal-body rod protein FlgG	flgG	QLH64-04285	flgG	QLH64_04285	FALSE	QLH64-04285	flgG
chromosome	CDS	with_protein	WHS55197.1	flagellar basal body L-ring protein FlgH	flgH	QLH64-04290	flgH	QLH64_04290	FALSE	QLH64-04290	flgH
chromosome	CDS	with_protein	WHS57127.1	flagellar basal body P-ring protein FlgI		QLH64-04295		QLH64_04295	FALSE	QLH64-04295	QLH64-04295
chromosome	CDS	with_protein	WHS55198.1	flagellar assembly peptidoglycan hydrolase FlgJ	flgJ	QLH64-04300	flgJ	QLH64_04300	FALSE	QLH64-04300	flgJ
chromosome	CDS	with_protein	WHS55199.1	flagellar hook-associated protein FlgK	flgK	QLH64-04305	flgK	QLH64_04305	FALSE	QLH64-04305	flgK
chromosome	CDS	with_protein	WHS55200.1	flagellar hook-associated protein 3		QLH64-04310		QLH64_04310	FALSE	QLH64-04310	QLH64-04310
chromosome	CDS	with_protein	WHS55201.1	ketoacyl-ACP synthase III		QLH64-04315		QLH64_04315	FALSE	QLH64-04315	QLH64-04315
chromosome	CDS	with_protein	WHS55202.1	flagellin		QLH64-04320		QLH64_04320	FALSE	QLH64-04320	QLH64-04320
chromosome	CDS	with_protein	WHS55203.1	flagellar protein FlaG		QLH64-04325		QLH64_04325	FALSE	QLH64-04325	QLH64-04325
chromosome	CDS	with_protein	WHS55204.1	flagellar filament capping protein FliD	fliD	QLH64-04330	fliD	QLH64_04330	FALSE	QLH64-04330	fliD
chromosome	CDS	with_protein	WHS55205.1	flagellar export chaperone FliS	fliS	QLH64-04335	fliS	QLH64_04335	FALSE	QLH64-04335	fliS
chromosome	CDS	with_protein	WHS55206.1	flagellar protein FliT		QLH64-04340		QLH64_04340	FALSE	QLH64-04340	QLH64-04340
chromosome	CDS	with_protein	WHS55207.1	sigma-54 dependent transcriptional regulator		QLH64-04345		QLH64_04345	FALSE	QLH64-04345	QLH64-04345
chromosome	CDS	with_protein	WHS57128.1	ATP-binding protein		QLH64-04350		QLH64_04350	FALSE	QLH64-04350	QLH64-04350
chromosome	CDS	with_protein	WHS55208.1	sigma-54 dependent transcriptional regulator		QLH64-04355		QLH64_04355	FALSE	QLH64-04355	QLH64-04355
chromosome	CDS	with_protein	WHS55209.1	flagellar hook-basal body complex protein FliE	fliE	QLH64-04360	fliE	QLH64_04360	FALSE	QLH64-04360	fliE
chromosome	CDS	with_protein	WHS55210.1	flagellar basal-body MS-ring/collar protein FliF	fliF	QLH64-04365	fliF	QLH64_04365	FALSE	QLH64-04365	fliF
chromosome	CDS	with_protein	WHS55211.1	flagellar motor switch protein FliG	fliG	QLH64-04370	fliG	QLH64_04370	FALSE	QLH64-04370	fliG
chromosome	CDS	with_protein	WHS55212.1	flagellar assembly protein FliH	fliH	QLH64-04375	fliH	QLH64_04375	FALSE	QLH64-04375	fliH
chromosome	CDS	with_protein	WHS55213.1	flagellar protein export ATPase FliI	fliI	QLH64-04380	fliI	QLH64_04380	FALSE	QLH64-04380	fliI
chromosome	CDS	with_protein	WHS55214.1	flagellar export protein FliJ	fliJ	QLH64-04385	fliJ	QLH64_04385	FALSE	QLH64-04385	fliJ
chromosome	CDS	with_protein	WHS55215.1	STAS domain-containing protein		QLH64-04390		QLH64_04390	FALSE	QLH64-04390	QLH64-04390
chromosome	CDS	with_protein	WHS55216.1	SpoIIE family protein phosphatase		QLH64-04395		QLH64_04395	FALSE	QLH64-04395	QLH64-04395
chromosome	CDS	with_protein	WHS55217.1	Hpt domain-containing protein		QLH64-04400		QLH64_04400	FALSE	QLH64-04400	QLH64-04400
chromosome	CDS	with_protein	WHS55218.1	flagellar hook-length control protein FliK		QLH64-04405		QLH64_04405	FALSE	QLH64-04405	QLH64-04405
chromosome	CDS	with_protein	WHS55219.1	flagellar basal body-associated protein FliL	fliL	QLH64-04410	fliL	QLH64_04410	FALSE	QLH64-04410	fliL
chromosome	CDS	with_protein	WHS55220.1	flagellar motor switch protein FliM	fliM	QLH64-04415	fliM	QLH64_04415	FALSE	QLH64-04415	fliM
chromosome	CDS	with_protein	WHS55221.1	flagellar motor switch protein FliN	fliN	QLH64-04420	fliN	QLH64_04420	FALSE	QLH64-04420	fliN
chromosome	CDS	with_protein	WHS55222.1	flagellar biosynthetic protein FliO	fliO	QLH64-04425	fliO	QLH64_04425	FALSE	QLH64-04425	fliO
chromosome	CDS	with_protein	WHS55223.1	flagellar type III secretion system pore protein FliP	fliP	QLH64-04430	fliP	QLH64_04430	FALSE	QLH64-04430	fliP
chromosome	CDS	with_protein	WHS55224.1	flagellar biosynthesis protein FliQ	fliQ	QLH64-04435	fliQ	QLH64_04435	FALSE	QLH64-04435	fliQ
chromosome	CDS	with_protein	WHS55225.1	flagellar biosynthetic protein FliR	fliR	QLH64-04440	fliR	QLH64_04440	FALSE	QLH64-04440	fliR
chromosome	CDS	with_protein	WHS55226.1	flagellar biosynthesis protein FlhB	flhB	QLH64-04445	flhB	QLH64_04445	FALSE	QLH64-04445	flhB
chromosome	CDS	with_protein	WHS55227.1	flagellar biosynthesis protein FlhA	flhA	QLH64-04450	flhA	QLH64_04450	FALSE	QLH64-04450	flhA
chromosome	CDS	with_protein	WHS55228.1	flagellar biosynthesis protein FlhF	flhF	QLH64-04455	flhF	QLH64_04455	FALSE	QLH64-04455	flhF
chromosome	CDS	with_protein	WHS55229.1	flagellar synthesis regulator FleN	fleN	QLH64-04460	fleN	QLH64_04460	FALSE	QLH64-04460	fleN
chromosome	CDS	with_protein	WHS55230.1	RNA polymerase sigma factor FliA	fliA	QLH64-04465	fliA	QLH64_04465	FALSE	QLH64-04465	fliA
chromosome	CDS	with_protein	WHS55231.1	chemotaxis response regulator CheY		QLH64-04470		QLH64_04470	FALSE	QLH64-04470	QLH64-04470
chromosome	CDS	with_protein	WHS55232.1	protein phosphatase CheZ		QLH64-04475		QLH64_04475	FALSE	QLH64-04475	QLH64-04475
chromosome	CDS	with_protein	WHS55233.1	chemotaxis protein CheA		QLH64-04480		QLH64_04480	FALSE	QLH64-04480	QLH64-04480
chromosome	CDS	with_protein	WHS55234.1	chemotaxis response regulator protein-glutamate methylesterase		QLH64-04485		QLH64_04485	FALSE	QLH64-04485	QLH64-04485
chromosome	CDS	with_protein	WHS55235.1	flagellar motor protein		QLH64-04490		QLH64_04490	FALSE	QLH64-04490	QLH64-04490
chromosome	CDS	with_protein	WHS55236.1	flagellar motor protein MotD	motD	QLH64-04495	motD	QLH64_04495	FALSE	QLH64-04495	motD
chromosome	CDS	with_protein	WHS55237.1	ParA family protein		QLH64-04500		QLH64_04500	FALSE	QLH64-04500	QLH64-04500
chromosome	CDS	with_protein	WHS55238.1	chemotaxis protein CheW		QLH64-04505		QLH64_04505	FALSE	QLH64-04505	QLH64-04505
chromosome	CDS	with_protein	WHS55239.1	chemotaxis protein CheW		QLH64-04510		QLH64_04510	FALSE	QLH64-04510	QLH64-04510
chromosome	CDS	with_protein	WHS55240.1	DUF2802 domain-containing protein		QLH64-04515		QLH64_04515	FALSE	QLH64-04515	QLH64-04515
chromosome	CDS	with_protein	WHS55241.1	EscU/YscU/HrcU family type III secretion system export apparatus switch protein		QLH64-04520		QLH64_04520	FALSE	QLH64-04520	QLH64-04520
chromosome	CDS	with_protein	WHS55242.1	flagellar hook-length control protein FliK		QLH64-04525		QLH64_04525	FALSE	QLH64-04525	QLH64-04525
chromosome	CDS	with_protein	WHS55243.1	cytochrome c biogenesis heme-transporting ATPase CcmA	ccmA	QLH64-04530	ccmA	QLH64_04530	FALSE	QLH64-04530	ccmA
chromosome	CDS	with_protein	WHS55244.1	heme exporter protein CcmB	ccmB	QLH64-04535	ccmB	QLH64_04535	FALSE	QLH64-04535	ccmB
chromosome	CDS	with_protein	WHS55245.1	heme ABC transporter permease		QLH64-04540		QLH64_04540	FALSE	QLH64-04540	QLH64-04540
chromosome	CDS	with_protein	WHS55246.1	heme exporter protein CcmD	ccmD	QLH64-04545	ccmD	QLH64_04545	FALSE	QLH64-04545	ccmD
chromosome	CDS	with_protein	WHS55247.1	cytochrome c maturation protein CcmE	ccmE	QLH64-04550	ccmE	QLH64_04550	FALSE	QLH64-04550	ccmE
chromosome	CDS	with_protein	WHS55248.1	heme lyase CcmF/NrfE family subunit		QLH64-04555		QLH64_04555	FALSE	QLH64-04555	QLH64-04555
chromosome	CDS	with_protein	WHS55249.1	DsbE family thiol:disulfide interchange protein		QLH64-04560		QLH64_04560	FALSE	QLH64-04560	QLH64-04560
chromosome	CDS	with_protein	WHS55250.1	cytochrome c-type biogenesis protein CcmH		QLH64-04565		QLH64_04565	FALSE	QLH64-04565	QLH64-04565
chromosome	CDS	with_protein	WHS55251.1	c-type cytochrome biogenesis protein CcmI	ccmI	QLH64-04570	ccmI	QLH64_04570	FALSE	QLH64-04570	ccmI
chromosome	CDS	with_protein	WHS55252.1	hypothetical protein		QLH64-04575		QLH64_04575	FALSE	QLH64-04575	QLH64-04575
chromosome	CDS	with_protein	WHS55253.1	LTA synthase family protein		QLH64-04580		QLH64_04580	FALSE	QLH64-04580	QLH64-04580
chromosome	CDS	with_protein	WHS55254.1	DUF3309 family protein		QLH64-04585		QLH64_04585	FALSE	QLH64-04585	QLH64-04585
chromosome	CDS	with_protein	WHS55255.1	SDR family oxidoreductase		QLH64-04590		QLH64_04590	FALSE	QLH64-04590	QLH64-04590
chromosome	CDS	with_protein	WHS57129.1	YnfA family protein		QLH64-04595		QLH64_04595	FALSE	QLH64-04595	QLH64-04595
chromosome	CDS	with_protein	WHS55256.1	carbon storage regulator CsrA	csrA_1	QLH64-04600	csrA	QLH64_04600	TRUE	QLH64-04600	csrA_1
chromosome	CDS	with_protein	WHS55257.1	YheU family protein		QLH64-04605		QLH64_04605	FALSE	QLH64-04605	QLH64-04605
chromosome	CDS	with_protein	WHS57130.1	osmoprotectant NAGGN system M42 family peptidase		QLH64-04610		QLH64_04610	FALSE	QLH64-04610	QLH64-04610
chromosome	CDS	with_protein	WHS55258.1	N-acetylglutaminylglutamine synthetase	ngg	QLH64-04615	ngg	QLH64_04615	FALSE	QLH64-04615	ngg
chromosome	CDS	with_protein	WHS55259.1	N-acetylglutaminylglutamine amidotransferase		QLH64-04620		QLH64_04620	FALSE	QLH64-04620	QLH64-04620
chromosome	CDS	with_protein	WHS55260.1	bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC	mnmC	QLH64-04625	mnmC	QLH64_04625	FALSE	QLH64-04625	mnmC
chromosome	CDS	with_protein	WHS55261.1	polyphosphate:AMP phosphotransferase	pap	QLH64-04630	pap	QLH64_04630	FALSE	QLH64-04630	pap
chromosome	CDS	with_protein	WHS55262.1	thiolase family protein		QLH64-04635		QLH64_04635	FALSE	QLH64-04635	QLH64-04635
chromosome	CDS	with_protein	WHS55263.1	DUF6316 family protein		QLH64-04640		QLH64_04640	FALSE	QLH64-04640	QLH64-04640
chromosome	CDS	with_protein	WHS55264.1	DMT family transporter		QLH64-04645		QLH64_04645	FALSE	QLH64-04645	QLH64-04645
chromosome	CDS	with_protein	WHS55265.1	class II fumarate hydratase		QLH64-04650		QLH64_04650	FALSE	QLH64-04650	QLH64-04650
chromosome	CDS	with_protein	WHS55266.1	DUF2059 domain-containing protein		QLH64-04655		QLH64_04655	FALSE	QLH64-04655	QLH64-04655
chromosome	CDS	with_protein	WHS55267.1	BolA family protein		QLH64-04660		QLH64_04660	FALSE	QLH64-04660	QLH64-04660
chromosome	CDS	with_protein	WHS55268.1	rhodanese-related sulfurtransferase		QLH64-04665		QLH64_04665	FALSE	QLH64-04665	QLH64-04665
chromosome	CDS	with_protein	WHS57131.1	DsbA family protein		QLH64-04670		QLH64_04670	FALSE	QLH64-04670	QLH64-04670
chromosome	CDS	with_protein	WHS55269.1	ABC transporter ATP-binding protein		QLH64-04675		QLH64_04675	FALSE	QLH64-04675	QLH64-04675
chromosome	CDS	with_protein	WHS55270.1	EAL domain-containing protein		QLH64-04680		QLH64_04680	FALSE	QLH64-04680	QLH64-04680
chromosome	CDS	with_protein	WHS55271.1	iron-containing redox enzyme family protein		QLH64-04685		QLH64_04685	FALSE	QLH64-04685	QLH64-04685
chromosome	CDS	with_protein	WHS55272.1	GGDEF domain-containing protein		QLH64-04690		QLH64_04690	FALSE	QLH64-04690	QLH64-04690
chromosome	CDS	with_protein	WHS55273.1	YciK family oxidoreductase		QLH64-04695		QLH64_04695	FALSE	QLH64-04695	QLH64-04695
chromosome	CDS	with_protein	WHS55274.1	N-acetylmuramic acid 6-phosphate phosphatase MupP	mupP	QLH64-04700	mupP	QLH64_04700	FALSE	QLH64-04700	mupP
chromosome	CDS	with_protein	WHS55275.1	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	ubiG	QLH64-04705	ubiG	QLH64_04705	FALSE	QLH64-04705	ubiG
chromosome	CDS	with_protein	WHS55276.1	TRZ/ATZ family hydrolase		QLH64-04710		QLH64_04710	FALSE	QLH64-04710	QLH64-04710
chromosome	CDS	with_protein	WHS55277.1	S-methyl-5-thioribose-1-phosphate isomerase	mtnA	QLH64-04715	mtnA	QLH64_04715	FALSE	QLH64-04715	mtnA
chromosome	CDS	with_protein	WHS55278.1	DNA gyrase subunit A	gyrA	QLH64-04720	gyrA	QLH64_04720	FALSE	QLH64-04720	gyrA
chromosome	CDS	with_protein	WHS55279.1	3-phosphoserine/phosphohydroxythreonine transaminase	serC	QLH64-04725	serC	QLH64_04725	FALSE	QLH64-04725	serC
chromosome	CDS	with_protein	WHS55280.1	prephenate dehydratase	pheA	QLH64-04730	pheA	QLH64_04730	FALSE	QLH64-04730	pheA
chromosome	CDS	with_protein	WHS55281.1	histidinol-phosphate transaminase	hisC_2	QLH64-04735	hisC	QLH64_04735	TRUE	QLH64-04735	hisC_2
chromosome	CDS	with_protein	WHS57132.1	bifunctional prephenate dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase		QLH64-04740		QLH64_04740	FALSE	QLH64-04740	QLH64-04740
chromosome	CDS	with_protein	WHS55282.1	(d)CMP kinase	cmk	QLH64-04745	cmk	QLH64_04745	FALSE	QLH64-04745	cmk
chromosome	CDS	with_protein	WHS55283.1	30S ribosomal protein S1	rpsA	QLH64-04750	rpsA	QLH64_04750	FALSE	QLH64-04750	rpsA
chromosome	CDS	with_protein	WHS55284.1	hypothetical protein		QLH64-04755		QLH64_04755	FALSE	QLH64-04755	QLH64-04755
chromosome	CDS	with_protein	WHS55285.1	integration host factor subunit beta	ihfB	QLH64-04760	ihfB	QLH64_04760	FALSE	QLH64-04760	ihfB
chromosome	CDS	with_protein	WHS55286.1	lipopolysaccharide assembly protein LapA domain-containing protein		QLH64-04765		QLH64_04765	FALSE	QLH64-04765	QLH64-04765
chromosome	CDS	with_protein	WHS55287.1	Wzz/FepE/Etk N-terminal domain-containing protein		QLH64-04770		QLH64_04770	FALSE	QLH64-04770	QLH64-04770
chromosome	CDS	with_protein	WHS57133.1	Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	tviB	QLH64-04775	tviB	QLH64_04775	FALSE	QLH64-04775	tviB
chromosome	CDS	with_protein	WHS55288.1	NAD-dependent epimerase/dehydratase family protein		QLH64-04780		QLH64_04780	FALSE	QLH64-04780	QLH64-04780
chromosome	CDS	with_protein	WHS55289.1	oligosaccharide flippase family protein		QLH64-04785		QLH64_04785	FALSE	QLH64-04785	QLH64-04785
chromosome	CDS	with_protein	WHS55290.1	hypothetical protein		QLH64-04790		QLH64_04790	FALSE	QLH64-04790	QLH64-04790
chromosome	CDS	with_protein	WHS55291.1	asparagine synthase (glutamine-hydrolyzing)	asnB	QLH64-04795	asnB	QLH64_04795	FALSE	QLH64-04795	asnB
chromosome	CDS	with_protein	WHS55292.1	glycosyltransferase family 1 protein		QLH64-04800		QLH64_04800	FALSE	QLH64-04800	QLH64-04800
chromosome	CDS	with_protein	WHS55293.1	glycosyltransferase family 4 protein		QLH64-04805		QLH64_04805	FALSE	QLH64-04805	QLH64-04805
chromosome	CDS	with_protein	WHS55294.1	SDR family oxidoreductase		QLH64-04810		QLH64_04810	FALSE	QLH64-04810	QLH64-04810
chromosome	CDS	with_protein	WHS55295.1	polysaccharide biosynthesis protein		QLH64-04815		QLH64_04815	FALSE	QLH64-04815	QLH64-04815
chromosome	CDS	with_protein	WHS55296.1	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	wecB_1	QLH64-04820	wecB	QLH64_04820	TRUE	QLH64-04820	wecB_1
chromosome	CDS	with_protein	WHS55297.1	SDR family oxidoreductase		QLH64-04825		QLH64_04825	FALSE	QLH64-04825	QLH64-04825
chromosome	CDS	with_protein	WHS55298.1	glycosyltransferase family 4 protein		QLH64-04830		QLH64_04830	FALSE	QLH64-04830	QLH64-04830
chromosome	CDS	with_protein	WHS55299.1	nucleoside-diphosphate sugar epimerase/dehydratase		QLH64-04835		QLH64_04835	FALSE	QLH64-04835	QLH64-04835
chromosome	CDS	with_protein	WHS55300.1	ComEA family DNA-binding protein		QLH64-04840		QLH64_04840	FALSE	QLH64-04840	QLH64-04840
chromosome	CDS	with_protein	WHS55301.1	calcium-binding protein		QLH64-04845		QLH64_04845	FALSE	QLH64-04845	QLH64-04845
chromosome	CDS	with_protein	WHS55302.1	DUF1989 domain-containing protein		QLH64-04850		QLH64_04850	FALSE	QLH64-04850	QLH64-04850
chromosome	CDS	with_protein	WHS55303.1	DUF2897 family protein		QLH64-04855		QLH64_04855	FALSE	QLH64-04855	QLH64-04855
chromosome	CDS	with_protein	WHS55304.1	ethanolamine permease	eat_1	QLH64-04860	eat	QLH64_04860	TRUE	QLH64-04860	eat_1
chromosome	CDS	with_protein	WHS55305.1	K(+)-transporting ATPase subunit F	kdpF	QLH64-04865	kdpF	QLH64_04865	FALSE	QLH64-04865	kdpF
chromosome	CDS	with_protein	WHS55306.1	potassium-transporting ATPase subunit KdpA	kdpA	QLH64-04870	kdpA	QLH64_04870	FALSE	QLH64-04870	kdpA
chromosome	CDS	with_protein	WHS55307.1	potassium-transporting ATPase subunit KdpB	kdpB	QLH64-04875	kdpB	QLH64_04875	FALSE	QLH64-04875	kdpB
chromosome	CDS	with_protein	WHS55308.1	potassium-transporting ATPase subunit KdpC	kdpC	QLH64-04880	kdpC	QLH64_04880	FALSE	QLH64-04880	kdpC
chromosome	CDS	with_protein	WHS55309.1	sensor histidine kinase KdpD		QLH64-04885		QLH64_04885	FALSE	QLH64-04885	QLH64-04885
chromosome	CDS	with_protein	WHS55310.1	response regulator		QLH64-04890		QLH64_04890	FALSE	QLH64-04890	QLH64-04890
chromosome	CDS	with_protein	WHS55311.1	patatin-like phospholipase family protein		QLH64-04895		QLH64_04895	FALSE	QLH64-04895	QLH64-04895
chromosome	CDS	with_protein	WHS55312.1	hypothetical protein		QLH64-04900		QLH64_04900	FALSE	QLH64-04900	QLH64-04900
chromosome	CDS	with_protein	WHS55313.1	CHAD domain-containing protein		QLH64-04905		QLH64_04905	FALSE	QLH64-04905	QLH64-04905
chromosome	CDS	with_protein	WHS55314.1	thioesterase family protein		QLH64-04910		QLH64_04910	FALSE	QLH64-04910	QLH64-04910
chromosome	CDS	with_protein	WHS55315.1	terminase		QLH64-04915		QLH64_04915	FALSE	QLH64-04915	QLH64-04915
